# unassigned_PDBID  line_TMscore_max  TMscore_max  corresponding_PDBID  corresponding_SCOPID  topology  topology_string
1A32_A  1173  0.49477  1HYW_A  d1hywa_  0-2-2    -C+0.+B+0.-B+1.+C+1.
1MH8_A  860   0.91907  1G4I_A  d1g4ia_  0-2-2    +C+0.+B+0.-B-1.+C-1.
2BHI_A  5537  0.76444  2H8U_A  d2h8ua1  0-2+3-0  +E+0.-E+1.+B+0.-B+1.-B-1.
2L2P_A  313   0.7728   1CKA_A  d1ckaa_  0-2+5-0  +B+0.-E+0.+E+1.-B-1.+B-2.-B-3.-B+1.
2MMN_A  3242  0.93555  1SYR_A  d1syra_  1-5-2    +B+0.-A+0.+B-2.-C+0.+B-1.-B-3.+B-4.-C-1.
2YCC_A  326   0.73055  1COT_A  d1cota_  0-3-1    -A+0.+B+0.-B-1.+B+1.
3M0Q_A  3475  0.994    1U06_A  d1u06a1  0-7      +B+0.-E+0.-B-4.+B-1.-B-2.+B-3.+E+1.
2BIR_A  1181  0.99212  1I0V_A  d1i0va_  0-2+5-0  +E+0.-E+1.-B+0.+B-1.-B-2.+B-3.-B-4.
1A6L_A  1082  0.94825  1H98_A  d1h98a_  0-2-2    +B+0.-C+0.+C-1.-B-1.
2L2Q_A  1256  0.80254  1IIB_A  d1iiba_  1-4-2    +B+0.-A+0.+B-1.+B+1.-C+0.+B+2.-A+1.
3M0R_A  3475  0.9965   1U06_A  d1u06a1  0-7      +B+0.-E+0.-B-4.+B-1.-B-2.+B-3.+E+1.
1MHX_A  5621  0.85881  2IGD_A  d2igda_  0-4-1    +B+0.-B-1.+A+0.-B+2.+B+1.
2YDL_A  3475  0.91143  1U06_A  d1u06a1  0-7      +B+0.-E+0.-B-4.+B-1.-B-2.+B-3.+E+1.
3M0S_A  3475  0.99567  1U06_A  d1u06a1  0-7      +B+0.-E+0.-B-4.+B-1.-B-2.+B-3.+E+1.
2BJD_A  3629  0.97502  1ULR_A  d1ulra_  0-5-2    +B+0.-C+0.+B+2.-B+1.+C-1.-B-1.+B+3.
1A70_A  363   0.94145  1CZP_A  d1czpa_  0-5-1    +B+0.-B+1.+C+0.-B-2.+B-3.+B-1.
1MI0_A  5621  0.85215  2IGD_A  d2igda_  0-4-1    +B+0.-B-1.+A+0.-B+2.+B+1.
2YGS_A  3107  0.54179  1SB6_A  d1sb6a_  0-3-2    +B+0.-C+0.+B+2.-B+1.+C-1.
3M0T_A  3475  0.9959   1U06_A  d1u06a1  0-7      +B+0.-E+0.-B-4.+B-1.-B-2.+B-3.+E+1.
1MID_A  3138  0.49092  1SFU_A  d1sfua_  1-3-1    -A+0.+B+0.-C+0.-B-2.+B-1.
2BJE_A  3629  0.9756   1ULR_A  d1ulra_  0-5-2    +B+0.-C+0.+B+2.-B+1.+C-1.-B-1.+B+3.
1A75_A  1407  0.5093   1J7Q_A  d1j7qa_  0-2-2    -A+0.+B+0.+A+1.+B+1.
3M0U_A  3475  0.98036  1U06_A  d1u06a1  0-7      +B+0.-E+0.-B-4.+B-1.-B-2.+B-3.+E+1.
2YHF_A  542   0.87123  1E87_A  d1e87a_  1-6-1    +B+0.-B-1.+C+0.-A+0.+B-3.-B-4.+B-5.+B-2.
1MJC_A  276   0.90538  1C9O_A  d1c9oa_  0-4+4-0  +E+0.-B+0.+B-1.-B-2.+E+3.+B+1.-E+1.+E+2.
3M17_B  1635  0.9702   1K5N_B  d1k5nb_  0-3+4-0  +B+0.-B+1.+E+0.-B+3.+B+2.-E-1.+E-2.
2BK8_A  844   0.83586  1G1C_A  d1g1ca_  0-3+4-0  +B+0.-B+1.+E+0.-B+3.+B+2.-E-1.+E-2.
1A75_B  1407  0.5335   1J7Q_A  d1j7qa_  0-2-2    -A+0.+B+0.+A+1.+B+1.
2MMO_A  3242  0.93812  1SYR_A  d1syra_  1-5-2    +B+0.-A+0.+B-2.-C+0.+B-1.-B-3.+B-4.-C-1.
2YHH_A  1740  0.4702   1KQ1_A  d1kq1a_  0-3+3-0  +B+0.-B-1.+E+0.-E-1.+E-2.-B+1.
1MN3_A  183   0.38917  1BHP_A  d1bhpa_  0-2-2    +B+0.-A+0.+A+1.-B+1.
3M1B_B  1635  0.95065  1K5N_B  d1k5nb_  0-3+4-0  +B+0.-B+1.+E+0.-B+3.+B+2.-E-1.+E-2.
2BL7_A  3059  0.49793  1S12_A  d1s12a_  0-5-0    +B+0.-B+1.-B+3.+B+2.+B-1.
2L2S_A  196   0.86136  1BKF_A  d1bkfa_  0-5-1    +B+0.-B-3.+B-4.+C+0.-B-1.+B-2.
1MN8_A  817   0.43259  1FXD_A  d1fxda_  0-2-2    -C+0.+B+0.-B-1.+C-1.
1A7D_A  1173  0.54905  1HYW_A  d1hywa_  0-2-2    -C+0.+B+0.-B+1.+C+1.
2YJ7_A  5757  0.93874  2TRX_A  d2trxa_  1-5-2    +B+0.-C+0.+B+2.-A+0.+B+1.-B+3.+B+4.-A+1.
2BL8_A  3682  0.46284  1UTX_A  d1utxa_  0-2-2    +B+0.-C+0.+C-1.+B-1.
3M1D_A  5596  0.76531  2I3H_A  d2i3ha1  0-3-2    -C+0.+B+0.-B-1.+B-2.-C-1.
1MOL_A  5710  0.91739  2O9U_X  d2o9ux1  0-5-1    +B+0.+A+0.-B-1.+B-2.-B-3.+B-4.
2L30_A  2656  0.60254  1PTQ_A  d1ptqa_  0-3-1    +B+0.-B+1.+B+2.-A+0.
1A7E_A  1173  0.54774  1HYW_A  d1hywa_  0-2-2    -C+0.+B+0.-B+1.+C+1.
2BN8_A  900   0.54448  1GCC_A  d1gcca_  0-3-1    +B+0.-B-1.+B-2.-C+0.
2YN1_A  5757  0.94541  2TRX_A  d2trxa_  1-5-2    +B+0.-C+0.+B+2.-A+0.+B+1.-B+3.+B+4.-A+1.
3M3G_A  233   0.65013  1BW3_A  d1bw3a_  0-4-1    +B+0.+B+2.-B+3.+C+0.-B+1.
1MSI_A  3557  0.98338  1UCS_A  d1ucsa_  0-2+3-0  +B+0.-E+0.+B+1.-B-1.+E-1.
